epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.6588,1.91652,3.87363,2.95306,0.00538,0.96203,0.06883,0.0268,1.11812,4.0906,2.86025,0.00014,0.00014,0.00014
2,49.463,1.26416,2.90452,2.33141,0.51503,0.63291,0.46456,0.34239,0.71207,2.86406,2.5765,0.00029703,0.00029703,0.00029703
3,77.975,0.97531,2.30495,2.20278,0.84924,0.8481,0.87474,0.68,0.61964,2.17024,2.53628,0.000450892,0.000450892,0.000450892
4,106.854,0.95032,1.82147,1.98074,0.84023,0.86076,0.92123,0.73921,0.69241,2.0769,2.98323,0.000601586,0.000601586,0.000601586
5,135.822,0.97007,1.63881,2.04833,0.81877,0.80065,0.87699,0.70947,0.66888,2.35446,2.33658,0.000749112,0.000749112,0.000749112
6,165.473,0.96931,1.54913,1.94277,0.805,0.88608,0.88623,0.68753,0.81406,2.65557,2.50515,0.00089347,0.00089347,0.00089347
7,193.449,0.95741,1.71573,2.03207,0.89918,0.89873,0.93137,0.74827,0.78225,2.48612,2.69066,0.00103466,0.00103466,0.00103466
8,223.52,0.89937,1.4273,1.85024,0.82539,0.83773,0.85628,0.68625,0.74556,2.54548,3.34093,0.00117268,0.00117268,0.00117268
9,248.596,1.0233,1.30361,2.03827,0.76303,0.89873,0.88682,0.73008,0.73799,2.46193,2.35107,0.00130754,0.00130754,0.00130754
10,267.416,0.98751,1.17348,1.92025,0.74814,0.94004,0.86337,0.69973,0.7509,2.25775,2.30804,0.00143922,0.00143922,0.00143922
11,290.172,1.00285,1.13728,1.99012,0.81183,0.94937,0.88686,0.69432,0.76765,1.75679,2.39522,0.00156774,0.00156774,0.00156774
12,323.77,0.99633,1.21767,2.13959,0.89352,0.88608,0.9165,0.74575,0.7089,1.42553,2.29336,0.00169309,0.00169309,0.00169309
13,351.206,1.07239,1.14218,2.01021,0.93385,0.89354,0.90825,0.72992,0.75285,1.32887,2.33246,0.0017624,0.0017624,0.0017624
14,374.742,0.94047,1.0194,1.90409,0.93502,0.91069,0.92311,0.73907,0.79685,1.30709,2.39154,0.0017426,0.0017426,0.0017426
15,396.493,0.89725,0.96988,1.78695,0.90751,0.86941,0.91644,0.76057,0.69693,1.31275,2.5682,0.0017228,0.0017228,0.0017228
16,416.94,0.97274,1.09588,1.97679,0.87729,0.93671,0.94874,0.75459,0.7547,1.22578,2.0873,0.001703,0.001703,0.001703
17,432.284,0.92699,0.9445,1.8995,0.92451,0.89873,0.9333,0.71198,0.87614,1.20171,2.47145,0.0016832,0.0016832,0.0016832
18,450.625,0.96058,0.9767,1.75694,0.93679,0.88608,0.93456,0.72867,0.92148,1.11599,2.18433,0.0016634,0.0016634,0.0016634
19,466.155,0.92901,0.87137,1.77448,0.94385,0.91139,0.93832,0.7633,0.826,1.04185,1.98851,0.0016436,0.0016436,0.0016436
20,479.278,0.96962,0.89377,1.85199,0.88973,0.91928,0.94245,0.80426,0.66451,0.8929,2.87218,0.0016238,0.0016238,0.0016238
21,495.435,0.81263,0.83039,1.84269,0.8862,0.92405,0.94862,0.80439,0.68423,0.85804,2.96757,0.001604,0.001604,0.001604
22,507.263,0.91831,0.81835,2.13493,0.9417,0.89873,0.94705,0.79737,0.64954,0.83071,3.02616,0.0015842,0.0015842,0.0015842
23,521.221,0.82423,0.91474,1.8244,0.91038,0.92405,0.94195,0.80079,0.6406,0.83884,2.43886,0.0015644,0.0015644,0.0015644
24,534.044,0.86787,0.7861,1.78739,0.9021,0.93311,0.9469,0.79618,0.67553,0.81151,2.22325,0.0015446,0.0015446,0.0015446
